l_a,n_a,m_a,l_b,n_b,m_b,l_c,n_c,m_c,omega_a,omega_b,omega_c,delta,kappa,refine,max_abs_n,abs_kappa,mu
3,5,0,5,4,0,6,-60,0,-0.002171276389406632,0.002043085918592437,0.00012874967655616195,5.592057419666688e-07,6.776607188743976,1,60,6.776607188743976,1560.1735003410206
2,6,0,6,-26,0,6,3,0,-0.002122306963237751,0.00028279245966383073,0.0018395688730973574,5.436952343722268e-08,2.027938533340362,1,26,2.027938533340362,7484.16326715321
2,2,0,5,-1,0,7,-71,0,-0.0013846263257445758,0.0012600188347770935,0.00012551776102247213,9.102700549898889e-07,11.177244315692654,1,71,11.177244315692654,1541.094351360861
3,4,0,5,3,0,8,-74,0,-0.0019293062769633813,0.001790781810623974,0.0001363946399957325,-2.1298263436747133e-06,19.116034639031636,1,74,19.116034639031636,1224.1290506516932
6,5,0,2,5,0,8,-34,0,-0.0023528837416548717,0.0020671941991908453,0.00028510967847687676,-5.798639871497369e-07,4.2809385538576645,1,34,4.2809385538576645,2104.867732101751
1,5,0,6,1,0,7,-56,0,-0.001734103264389586,0.0015742472041819552,0.00015863912287043133,-1.2169373371994589e-06,12.03846771100909,1,56,12.03846771100909,1569.32220017468
2,3,0,3,-33,0,5,1,0,-0.0016105693803172012,0.00012331138400346338,0.0014871323890410233,-1.2560727271444458e-07,1.3451380351417679,1,33,1.3451380351417679,15910.946450842039
1,7,0,4,-30,0,5,4,0,-0.002215705167770865,0.00017325581505781747,0.002043085918592437,6.365658793893933e-07,6.154436780938385,1,30,6.154436780938385,13141.889147620466
3,4,0,5,3,0,8,-72,0,-0.0019293062769633813,0.001790781810623974,0.00014047827173190668,1.9538053924992877e-06,16.7138889362276,1,72,16.7138889362276,1201.6866939776805
3,0,0,3,-27,0,6,-4,0,-0.001168345950483926,0.00014804375554557174,0.0010207625668623673,4.603719240129419e-07,6.18038303360752,1,27,6.18038303360752,13702.8570744999
4,5,0,6,-54,0,6,4,0,-0.0022367954459129313,0.00014220078000247392,0.002095241425916125,6.467600056677542e-07,5.910768452501795,1,54,5.910768452501795,12759.015026342377
5,-1,0,6,-4,0,9,-46,0,-0.0012600188347770935,0.0010207625668623673,0.00023971390995534142,4.576420406152658e-07,5.6679652138887855,1,46,5.6679652138887855,2968.8871276465597
0,3,0,4,-40,0,4,-2,0,-0.0011860096719051476,0.00013149003482230205,0.0010543285503157793,-1.9108676706626818e-07,2.5100116396212506,1,40,2.5100116396212506,13849.033826438821
2,5,0,6,-33,0,6,3,0,-0.0020671941991908453,0.00022768104057379994,0.0018395688730973574,5.571448031182688e-08,3.605544542593318,1,33,3.605544542593318,13302.398998022589
5,5,0,3,5,0,6,-62,0,-0.0022961841876560085,0.002171276389406632,0.00012431141463915382,-5.963836102224236e-07,4.790663327233369,1,62,4.790663327233369,998.5059120430017
4,2,0,5,-1,0,7,-38,0,-0.0014879160161311994,0.0012600188347770935,0.00022828083107554652,3.836497214405616e-07,4.101496805722349,1,38,4.101496805722349,2440.4891209613374
4,5,0,6,4,0,8,-72,0,-0.0022367954459129313,0.002095241425916125,0.00014047827173190668,-1.0757482648993816e-06,8.309750479163188,1,72,8.309750479163188,1085.0254858605658
6,-8,0,3,-17,0,5,-11,0,-0.0007442847839762188,0.00023210374783301,0.0005121697740119717,-1.1262131237028787e-08,0.22839425955749287,1,17,0.22839425955749287,10386.722770395912
