l_a,n_a,m_a,l_b,n_b,m_b,l_c,n_c,m_c,omega_a,omega_b,omega_c,delta,kappa,refine,max_abs_n,abs_kappa,mu
5,-1,0,4,-2,0,7,-62,0,-0.0010910354688303623,0.0009543833025544501,0.00013674045710444197,8.82908285297461e-08,1.1946302220319471,1,62,1.1946302220319471,1848.1118098065517
4,4,0,5,3,0,9,-62,0,-0.0017201142970912078,0.001548847611724769,0.00017242787377674522,1.1611884103064109e-06,11.697365668071685,1,62,11.697365668071685,1736.959928522976
5,5,0,2,5,0,7,-46,0,-0.0019862555038104063,0.0018048401012071306,0.00018209686224615436,6.814596428786519e-07,5.878292190677375,1,46,5.878292190677375,1570.7721519237207
2,2,0,5,-54,0,5,-1,0,-0.00120515078399613,0.00011456080903676464,0.0010910354688303623,4.45493870996792e-07,5.27921746324992,1,54,5.27921746324992,12928.784122083365
4,5,0,2,5,0,6,-56,0,-0.0019351014156810539,0.0018048401012071306,0.00013095202453033104,6.907100564077905e-07,6.981808450269631,1,56,6.981808450269631,1323.6745597349004
4,4,0,5,3,0,7,-49,0,-0.0017201142970912078,0.001548847611724769,0.00017161028915701863,3.43603790579905e-07,5.147144447791466,1,49,5.147144447791466,2570.689125418971
3,4,0,5,3,0,8,-81,0,-0.0016697023644453982,0.001548847611724769,0.00011904249983329304,-1.8122528873361961e-06,16.253537864297417,1,81,16.253537864297417,1067.6202229546911
4,1,0,6,-1,0,10,-78,0,-0.0012825574052606177,0.0011309737734404898,0.0001521887619501829,6.051301300550455e-07,6.60311452835447,1,78,6.60311452835447,1660.410410749557
2,6,0,6,4,0,8,-50,0,-0.0020022479995732987,0.0018116043345837844,0.0001894895435410259,-1.154121448488591e-06,8.041513807781431,1,50,8.041513807781431,1320.295735999473
6,-2,0,4,-2,0,10,-71,0,-0.0011210385021110606,0.0009543833025544501,0.00016679830727725517,1.4310772064466196e-07,1.698697661112893,1,71,1.698697661112893,1977.6315491168687
6,5,0,5,4,0,11,-47,0,-0.0020351783964062515,0.0017666927178038535,0.0002673048138426097,-1.1808647597884477e-06,7.741870970534267,1,47,7.741870970534267,1752.4774693203842
4,1,0,6,-1,0,8,-63,0,-0.0012825574052606177,0.0011309737734404898,0.00015188045903787858,2.968272177505688e-07,3.121300335983895,1,63,3.121300335983895,1596.8855232538494
3,1,0,2,1,0,5,-53,0,-0.0011691878228487144,0.0010519899754354604,0.00011696475929971748,-2.3308811353652328e-07,2.5922128343284268,1,53,2.5922128343284268,1300.7391667225534
