l_a,n_a,l_b,n_b,l_c,n_c,omega_a,omega_b,omega_c,delta,abs_delta_over_omega_a
0,7,2,0,2,0,-0.0021204201710575787,0.0010448703139708233,0.0010448703139708233,-3.067954311593204e-05,0.014468615010689292
2,-1,0,1,2,-22,-0.000894883579030094,0.000738948454077827,0.00012851652946638972,-2.741859548587727e-05,0.030639287755838025
2,-1,0,1,2,-21,-0.000894883579030094,0.000738948454077827,0.00013488742619334427,-2.1047698758922743e-05,0.023520041323961908
2,-1,0,1,2,-20,-0.000894883579030094,0.000738948454077827,0.0001393121823523654,-1.6622942599901552e-05,0.01857553651606623
2,-1,0,1,2,-19,-0.000894883579030094,0.000738948454077827,0.00014613674776618418,-9.798377186082813e-06,0.010949331751849369
2,-1,0,1,2,-18,-0.000894883579030094,0.000738948454077827,0.00015542391434663602,-5.112106056309393e-07,0.000571259343237706
2,-1,0,1,2,-17,-0.000894883579030094,0.000738948454077827,0.0001654511913622877,9.516066410020707e-06,0.010633859680758195
2,-1,0,1,2,-16,-0.000894883579030094,0.000738948454077827,0.00017249671507286419,1.6561590120597143e-05,0.018506977341731057
2,-1,0,1,2,-15,-0.000894883579030094,0.000738948454077827,0.0001819548751341122,2.60197501818452e-05,0.029076128774254986
2,0,0,1,2,-9,-0.0010448703139708233,0.000738948454077827,0.0003021884453905382,-3.7334145024580864e-06,0.0035730888824566003
2,0,0,1,2,-8,-0.0010448703139708233,0.000738948454077827,0.0003326425567156908,2.6720696822694423e-05,0.025573218480241525
2,2,0,1,2,-4,-0.0013846263257445758,0.000738948454077827,0.0006184286779740842,-2.7249193692664578e-05,0.019679817714004146
2,3,0,1,2,-1,-0.0016105693803172012,0.000738948454077827,0.000894883579030094,2.3262652790719722e-05,0.014443744600520189
2,6,0,1,2,2,-0.002122306963237751,0.000738948454077827,0.0013846263257445758,1.2678165846520019e-06,0.0005973766314736324
2,7,0,1,2,3,-0.002333641093116966,0.000738948454077827,0.0016105693803172012,1.5876741278062108e-05,0.00680342033952448
2,0,0,2,2,-23,-0.0010448703139708233,0.0009538753378151529,0.00012218782020503911,3.1192844049368574e-05,0.029853316370743014
2,1,0,2,2,-12,-0.0011992510625692902,0.0009538753378151529,0.00022661345866183688,-1.8762266092300396e-05,0.01564498600660306
2,1,0,2,2,-11,-0.0011992510625692902,0.0009538753378151529,0.00024159830799367046,-3.777416760466796e-06,0.003149813144525394
2,1,0,2,2,-10,-0.0011992510625692902,0.0009538753378151529,0.00026814142169328853,2.276569693915125e-05,0.01898326184542021
2,2,0,2,2,-6,-0.0013846263257445758,0.0009538753378151529,0.00042506408290257934,-5.686905026843587e-06,0.00410717673144448
2,4,0,2,2,-1,-0.0018458787080848657,0.0009538753378151529,0.000894883579030094,2.8802087603811873e-06,0.0015603456217171813
2,6,0,2,2,1,-0.002122306963237751,0.0009538753378151529,0.0011992510625692902,3.081943714669218e-05,0.014521668015297202
2,7,0,2,2,2,-0.002333641093116966,0.0009538753378151529,0.0013846263257445758,4.860570442762665e-06,0.002082826899602871
2,2,0,3,2,-16,-0.0013846263257445758,0.0011860096719051476,0.00017249671507286419,-2.6119938766563846e-05,0.018864251156367393
2,2,0,3,2,-15,-0.0013846263257445758,0.0011860096719051476,0.0001819548751341122,-1.6661778705316004e-05,0.012033411755591326
2,2,0,3,2,-14,-0.0013846263257445758,0.0011860096719051476,0.00019644874332665755,-2.1679105127706162e-06,0.0015657007760594421
2,2,0,3,2,-13,-0.0013846263257445758,0.0011860096719051476,0.00021328352758161109,1.4666873742182973e-05,0.010592658444722215
2,2,0,3,2,-12,-0.0013846263257445758,0.0011860096719051476,0.00022661345866183688,2.799680482240877e-05,0.020219754818942674
2,3,0,3,2,-6,-0.0016105693803172012,0.0011860096719051476,0.00042506408290257934,5.043744905257417e-07,0.0003131653294106493
2,4,0,3,2,-3,-0.0018458787080848657,0.0011860096719051476,0.0006883901588102036,2.8521122630485512e-05,0.015451244171983933
2,5,0,3,2,-1,-0.0020671941991908453,0.0011860096719051476,0.000894883579030094,1.3699051744396357e-05,0.006626881862264576
2,3,0,4,2,-17,-0.0016105693803172012,0.00142210207358038,0.0001654511913622877,-2.3016115374533547e-05,0.014290669905819599
2,3,0,4,2,-16,-0.0016105693803172012,0.00142210207358038,0.00017249671507286419,-1.5970591663956894e-05,0.009916115293841914
2,3,0,4,2,-15,-0.0016105693803172012,0.00142210207358038,0.0001819548751341122,-6.512431602709052e-06,0.004043558559039804
2,3,0,4,2,-14,-0.0016105693803172012,0.00142210207358038,0.00019644874332665755,7.981436589836336e-06,0.00495566144953308
2,3,0,4,2,-13,-0.0016105693803172012,0.00142210207358038,0.00021328352758161109,2.4816220844789925e-05,0.015408352566532947
2,4,0,4,2,-6,-0.0018458787080848657,0.00142210207358038,0.00042506408290257934,1.2874483980936016e-06,0.0006974718287039314
2,5,0,4,2,-4,-0.0020671941991908453,0.00142210207358038,0.0006184286779740842,-2.6663447636381208e-05,0.012898375801759693
2,6,0,4,2,-3,-0.002122306963237751,0.00142210207358038,0.0006883901588102036,-1.1814730847167255e-05,0.005566928371729473
2,7,0,4,2,-1,-0.002333641093116966,0.00142210207358038,0.000894883579030094,-1.665544050649193e-05,0.007137104568314666
2,4,0,5,2,-17,-0.0018458787080848657,0.0016579761203197167,0.0001654511913622877,-2.245139640286143e-05,0.012162985739271666
2,4,0,5,2,-16,-0.0018458787080848657,0.0016579761203197167,0.00017249671507286419,-1.5405872692284776e-05,0.008346091552390602
2,4,0,5,2,-15,-0.0018458787080848657,0.0016579761203197167,0.0001819548751341122,-5.947712631036934e-06,0.0032221578833897483
2,4,0,5,2,-14,-0.0018458787080848657,0.0016579761203197167,0.00019644874332665755,8.546155561508454e-06,0.004629857597943287
2,4,0,5,2,-13,-0.0018458787080848657,0.0016579761203197167,0.00021328352758161109,2.5380939816462044e-05,0.013750058281345718
2,5,0,5,2,-6,-0.0020671941991908453,0.0016579761203197167,0.00042506408290257934,1.584600403145087e-05,0.00766546463687515
2,7,0,5,2,-3,-0.002333641093116966,0.0016579761203197167,0.0006883901588102036,1.2725186012954495e-05,0.005452931922773905
2,5,0,6,2,-18,-0.0020671941991908453,0.0018886592089966776,0.00015542391434663602,-2.311107584753152e-05,0.011179924874294736
