t_yr,E_P,E_Q,E_c,E_d
16.511028069833397,3.4091126383139733e-09,3.4091126383139733e-09,1.3022098950275946e-08,1.0067793371810611e-08
16.517994748343877,3.4091126383139733e-09,3.4091126383139733e-09,1.3926231353543852e-08,9.64024050473714e-09
16.524961426854354,3.4091126383139733e-09,3.4091126383139733e-09,1.4873628005609056e-08,9.239709187127071e-09
16.531928105364834,3.4091126383139733e-09,3.4091126383139733e-09,1.5864624464739806e-08,8.864424459276794e-09
16.53889478387531,3.4091126383139733e-09,3.4091126383139733e-09,1.6899518591411974e-08,8.512737058607112e-09
16.545861462385787,3.4091126383139733e-09,3.4091126383139733e-09,1.7978572503177227e-08,8.183115044683703e-09
16.552828140896267,3.4091126383139733e-09,3.4091126383139733e-09,1.9102014488302658e-08,7.87413588031269e-09
16.559794819406747,3.4091126383139733e-09,3.4091126383139733e-09,2.0270040863241427e-08,7.584478969766018e-09
16.566761497917224,3.4091126383139733e-09,3.4091126383139733e-09,2.1482817760782278e-08,7.312918646632613e-09
16.5737281764277,3.4091126383139733e-09,3.4091126383139733e-09,2.2740482841155755e-08,7.058317601927061e-09
16.58069485493818,3.4091126383139733e-09,3.4091126383139733e-09,2.4043146907801807e-08,6.81962073389745e-09
16.58766153344866,3.4091126383139733e-09,3.4091126383139733e-09,2.5390895430790933e-08,6.5958494056120134e-09
16.594628211959137,3.4091126383139733e-09,3.4091126383139733e-09,2.6783789975894573e-08,6.386096093106688e-09
16.601594890469617,3.4091126383139733e-09,3.4091126383139733e-09,2.8221869533576322e-08,6.189519403723345e-09
16.608561568980093,3.4091126383139733e-09,3.4091126383139733e-09,2.9705151749437975e-08,6.005339446011025e-09
16.61552824749057,3.4091126383139733e-09,3.4091126383139733e-09,3.123363405858083e-08,5.832833531932475e-09
16.62249492600105,3.4091126383139733e-09,3.4091126383139733e-09,3.2807294726515106e-08,5.671332193000351e-09
16.62946160451153,3.4091126383139733e-09,3.4091126383139733e-09,3.442609379389818e-08,5.520215490342568e-09
16.636428283022006,3.4091126383139733e-09,3.4091126383139733e-09,3.608997393284299e-08,5.3789096017066124e-09
16.643394961532483,3.4091126383139733e-09,3.4091126383139733e-09,3.7798861216450044e-08,5.246883667839775e-09
16.650361640042963,3.4091126383139733e-09,3.4091126383139733e-09,3.955266580326456e-08,5.123646881528678e-09
16.657328318553443,3.4091126383139733e-09,3.4091126383139733e-09,4.135128253996948e-08,5.008745803606368e-09
16.66429499706392,3.4091126383139733e-09,3.4091126383139733e-09,4.3194591486039757e-08,4.901761890981458e-09
16.671261675574396,3.4091126383139733e-09,3.4091126383139733e-09,4.508245836346949e-08,4.8023092229383395e-09
16.678228354084876,3.4091126383139733e-09,3.4091126383139733e-09,4.70147349319334e-08,4.710032412388234e-09
16.685195032595352,3.4091126383139733e-09,3.4091126383139733e-09,4.899125929316356e-08,4.624604689749162e-09
16.692161711105832,3.4091126383139733e-09,3.4091126383139733e-09,5.101185612747796e-08,4.5457261483554485e-09
16.69912838961631,3.4091126383139733e-09,3.4091126383139733e-09,5.307633686310713e-08,4.473122140599087e-09
16.70609506812679,3.4091126383139733e-09,3.4091126383139733e-09,5.518449977975546e-08,4.406541815217207e-09
16.713061746637266,3.4091126383139733e-09,3.4091126383139733e-09,5.73361300481791e-08,4.34575678662811e-09
16.720028425147746,3.4091126383139733e-09,3.4091126383139733e-09,5.953099970716146e-08,4.290559928096033e-09
