l_a,n_a,l_b,n_b,l_c,n_c,omega_a,omega_b,omega_c,delta,abs_delta_over_omega_a,n_m
0,18,1,6,1,10,-0.0049693743676990434,0.0019747070189232627,0.002973321972018305,-2.1345376757475783e-05,0.004295385128603076,3
0,19,1,6,1,11,-0.005233627846213401,0.0019747070189232627,0.003235253388057165,-2.3667439232972695e-05,0.004522186125652095,3
0,20,1,6,1,12,-0.005499828254476584,0.0019747070189232627,0.003499927798231137,-2.5193437322184285e-05,0.0045807680088333835,3
0,16,1,7,1,7,-0.004442519754188167,0.002215705167770865,0.002215705167770865,-1.110941864643656e-05,0.0025007021377818754,3
0,17,1,7,1,8,-0.004706014722882456,0.002215705167770865,0.0024629844882008973,-2.732506691069305e-05,0.005806413392169823,3
1,1,0,1,1,-7,-0.0009785032656031902,0.000738948454077827,0.00021361879346884448,-2.5936018056518686e-05,0.02650580633528151,3
1,1,0,1,1,-6,-0.0009785032656031902,0.000738948454077827,0.00025234878420021,1.2793972674846792e-05,0.013075043410263996,3
1,2,0,1,1,-3,-0.0011876060720696538,0.000738948454077827,0.0004344394724834455,-1.4218145508381255e-05,0.011972105770395012,3
1,4,0,1,1,-1,-0.0014878228371177796,0.000738948454077827,0.000758058289083616,9.183906043663337e-06,0.006172714798123722,3
1,5,0,1,1,1,-0.001734103264389586,0.000738948454077827,0.0009785032656031902,-1.6651544708568954e-05,0.009602395111360563,3
1,7,0,1,1,4,-0.002215705167770865,0.000738948454077827,0.0014878228371177796,1.1066123424741461e-05,0.004994402497997808,3
1,8,0,1,1,5,-0.0024629844882008973,0.000738948454077827,0.001734103264389586,1.0067230266515813e-05,0.004087411152909649,3
1,9,0,1,1,6,-0.00271575402351329,0.000738948454077827,0.0019747070189232627,-2.0985505122003527e-06,0.000772732174575045,3
1,10,0,1,1,7,-0.002973321972018305,0.000738948454077827,0.002215705167770865,-1.866835016961282e-05,0.00627861709740794,3
1,2,0,2,1,-7,-0.0011876060720696538,0.0009538753378151529,0.00021361879346884448,-2.0111940785656366e-05,0.016934858501192297,3
1,2,0,2,1,-6,-0.0011876060720696538,0.0009538753378151529,0.00025234878420021,1.8618049945709004e-05,0.015676957522845206,3
1,3,0,2,1,-5,-0.0012725407985733764,0.0009538753378151529,0.00030881498435276556,-9.850476405457885e-06,0.007740794178466485,3
1,5,0,2,1,-1,-0.001734103264389586,0.0009538753378151529,0.000758058289083616,-2.216963749081713e-05,0.012784496717166936,3
1,7,0,2,1,3,-0.002215705167770865,0.0009538753378151529,0.0012725407985733764,1.0710968617664088e-05,0.0048341127571769745,3
1,8,0,2,1,4,-0.0024629844882008973,0.0009538753378151529,0.0014878228371177796,-2.1286313267964655e-05,0.008642487750100845,3
1,9,0,2,1,5,-0.00271575402351329,0.0009538753378151529,0.001734103264389586,-2.7775421308551262e-05,0.010227517318604218,3
1,3,0,3,1,-20,-0.0012725407985733764,0.0011860096719051476,8.072560078089107e-05,-5.805525887337803e-06,0.004562153051474874,3
1,3,0,3,1,-19,-0.0012725407985733764,0.0011860096719051476,8.478197882193453e-05,-1.7491478462943431e-06,0.0013745318407514184,3
1,3,0,3,1,-18,-0.0012725407985733764,0.0011860096719051476,9.022666331180865e-05,3.695536643579791e-06,0.0029040614239816856,3
1,3,0,3,1,-17,-0.0012725407985733764,0.0011860096719051476,9.604201341396486e-05,9.510886745735985e-06,0.007473934632507245,3
1,3,0,3,1,-16,-0.0012725407985733764,0.0011860096719051476,0.00010005036405775381,1.3519237389524952e-05,0.010623814501414128,3
1,3,0,3,1,-15,-0.0012725407985733764,0.0011860096719051476,0.00010578880168925861,1.9257675021029912e-05,0.015133247627596191,3
1,3,0,3,1,-14,-0.0012725407985733764,0.0011860096719051476,0.00011436477230035796,2.783364563212925e-05,0.021872497654560917,3
1,4,0,3,1,-5,-0.0014878228371177796,0.0011860096719051476,0.00030881498435276556,7.0018191401335136e-06,0.0047060839271008134,3
1,6,0,3,1,-1,-0.0019747070189232627,0.0011860096719051476,0.000758058289083616,-3.063905793449905e-05,0.01551574873684575,3
1,8,0,3,1,3,-0.0024629844882008973,0.0011860096719051476,0.0012725407985733764,-4.434017722373257e-06,0.0018002621387242731,3
1,4,0,4,1,-20,-0.0014878228371177796,0.00142210207358038,8.072560078089107e-05,1.5004837243491435e-05,0.010085096739447089,3
1,4,0,4,1,-19,-0.0014878228371177796,0.00142210207358038,8.478197882193453e-05,1.9061215284534895e-05,0.012811481857248817,3
1,4,0,4,1,-18,-0.0014878228371177796,0.00142210207358038,9.022666331180865e-05,2.450589977440903e-05,0.01647097971817802,3
1,4,0,4,1,-17,-0.0014878228371177796,0.00142210207358038,9.604201341396486e-05,3.0321249876565223e-05,0.020379610475198616,3
1,5,0,4,1,-5,-0.001734103264389586,0.00142210207358038,0.00030881498435276556,-3.1862064564405594e-06,0.001837379884964418,3
1,9,0,4,1,3,-0.00271575402351329,0.00142210207358038,0.0012725407985733764,-2.111115135953372e-05,0.007773587437135729,3
