l_c,n_c,l_d,n_d,kappa_m0,kappa_max,m_max,n_m,refine
12,-57,25,-237,-0.2210237189750223,-0.4650323536838461,"(-3, -22, 25)",1119,2
12,-57,8,-75,-1.091695081041433,-1.9428767591709768,"(-12, 6, 6)",269,2
12,-57,13,-123,-0.5908332148702969,1.0578651973694266,"(-6, -7, 13)",511,2
6,-27,16,-145,-0.2662438523989438,-0.5093750450314415,"(-1, -15, 16)",387,2
6,-27,8,-75,-0.5949086289189947,0.9645758485351361,"(-2, -6, 8)",179,2
6,-27,5,-47,-0.8516194596796357,-1.2943495186705416,"(-6, 3, 3)",101,1
12,-57,21,-199,-0.29760145721823583,-0.6049843460122921,"(-3, -18, 21)",919,2
10,-45,6,-57,-1.9169036614586423,-3.269633103153491,"(-10, 5, 5)",163,1
8,-37,5,-49,-1.6178278931130459,-2.6219448487569994,"(-8, 4, 4)",115,1
12,-57,11,-100,-1.4345041599195694,-2.55297000201117,"(-12, 6, 6)",419,2
12,-57,8,-74,-1.2782762782641128,-2.274933098049491,"(-12, 6, 6)",269,1
12,-57,18,-170,-0.41716223301439753,-0.8172520120307478,"(-4, -14, 18)",769,2
12,-57,14,-140,-0.5735791049867361,1.0586286791727058,"(-5, -9, 14)",569,2
12,-57,22,-214,-0.2547365559817739,0.5254520927860566,"(-3, -19, 22)",969,2
10,-43,5,-46,-4.465011606679565,-7.615901648419346,"(-10, 5, 5)",121,1
